imdbid,primaryTitle,year,rating,decade,variable,value,genre,pass,notpass
tt0095016,Die Hard,1988,3,1980,Action,1,Action,1,0
tt0095583,Maniac Cop,1988,3,1980,Horror,1,Horror,1,0
tt0095631,Midnight Run,1988,2,1980,Comedy,1,Comedy,0,1
tt0096256,They Live,1988,0,1980,Sci-Fi,1,Sci-Fi,0,1
tt0096446,Willow,1988,3,1980,Adventure,1,Adventure,1,0
tt0096465,World Gone Wild,1987,3,1980,Action,1,Action,1,0
tt0096487,Young Guns,1988,1,1980,Western,1,Western,0,1
tt0096895,Batman,1989,1,1980,Action,1,Action,0,1
tt0097428,Ghostbusters II,1989,2,1980,Comedy,1,Comedy,0,1
tt0097444,Godzilla vs. Biollante,1989,3,1980,Action,1,Action,1,0
tt0097499,Henry V,1989,3,1980,Drama,1,Drama,1,0
tt0097576,Indiana Jones and the Last Crusade,1989,0,1980,Adventure,1,Adventure,0,1
tt0097731,Let It Ride,1989,2,1980,Comedy,1,Comedy,0,1
tt0097733,Lethal Weapon 2,1989,3,1980,Crime,1,Crime,1,0
tt0097742,Licence to Kill,1989,2,1980,Thriller,1,Thriller,0,1
tt0098206,Road House,1989,1,1980,Action,1,Action,0,1
tt0098382,Star Trek V: The Final Frontier,1989,1,1980,Action,1,Action,0,1
tt0099005,Air America,1990,0,1990,Action,1,Action,0,1
tt0099277,Class of 1999,1990,2,1990,Action,1,Action,0,1
tt0099365,Darkman,1990,0,1990,Crime,1,Crime,0,1
tt0099422,Dick Tracy,1990,1,1990,Action,1,Action,0,1
tt0099423,Die Hard 2,1990,3,1990,Action,1,Action,1,0
tt0099810,The Hunt for Red October,1990,1,1990,Thriller,1,Thriller,0,1
tt0099817,Dark Angel,1990,0,1990,Action,1,Action,0,1
tt0100009,Lethal Games,1991,3,1990,Thriller,1,Thriller,1,0
tt0100263,La Femme Nikita,1990,3,1990,Action,1,Action,1,0
tt0100403,Predator 2,1990,2,1990,Horror,1,Horror,0,1
tt0100502,RoboCop 2,1990,1,1990,Sci-Fi,1,Sci-Fi,0,1
tt0100758,Teenage Mutant Ninja Turtles,1990,2,1990,Comedy,1,Comedy,0,1
tt0100802,Total Recall,1990,1,1990,Action,1,Action,0,1
tt0100963,King of Beggars,1992,2,1990,Drama,1,Drama,0,1
tt0102059,Hot Shots!,1991,1,1990,Comedy,1,Comedy,0,1
tt0102070,Hudson Hawk,1991,3,1990,Comedy,1,Comedy,1,0
tt0102266,The Last Boy Scout,1991,3,1990,Action,1,Action,1,0
tt0102685,Point Break,1991,0,1990,Crime,1,Crime,0,1
tt0102797,Robin Hood,1991,1,1990,Adventure,1,Adventure,0,1
tt0102798,Robin Hood: Prince of Thieves,1991,3,1990,Adventure,1,Adventure,1,0
tt0102803,The Rocketeer,1991,1,1990,Family,1,Family,0,1
tt0102975,Star Trek VI: The Undiscovered Country,1991,2,1990,Sci-Fi,1,Sci-Fi,0,1
tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,3,1990,Adventure,1,Adventure,1,0
tt0103064,Terminator 2: Judgment Day,1991,3,1990,Action,1,Action,1,0
tt0103112,Toy Soldiers,1991,0,1990,Drama,1,Drama,0,1
tt0103644,Alien³,1992,0,1990,Action,1,Action,0,1
tt0103776,Batman Returns,1992,0,1990,Action,1,Action,0,1
tt0103893,Buffy the Vampire Slayer,1992,3,1990,Comedy,1,Comedy,1,0
tt0104246,Fei hu wai zhuan,1993,2,1990,Action,1,Action,0,1
tt0104684,Hard Boiled,1992,0,1990,Drama,1,Drama,0,1
tt0104691,The Last of the Mohicans,1992,2,1990,Action,1,Action,0,1
tt0104815,El Mariachi,1992,0,1990,Thriller,1,Thriller,0,1
tt0104981,Neon City,1991,3,1990,Adventure,1,Adventure,1,0
tt0105459,Split Second,1992,0,1990,Crime,1,Crime,0,1
tt0105477,Stop! Or My Mom Will Shoot,1992,2,1990,Action,1,Action,0,1
tt0105619,The Heroic Trio,1993,3,1990,Fantasy,1,Fantasy,1,0
tt0105851,Full Contact,1992,1,1990,Action,1,Action,0,1
tt0105859,Dragon Inn,1992,3,1990,Action,1,Action,1,0
tt0106303,Arctic Blue,1993,1,1990,Action,1,Action,0,1
tt0106364,Batman: Mask of the Phantasm,1993,0,1990,Animation,1,Animation,0,1
tt0106417,Sailor Moon R: The Movie: The Promise of the Rose,1993,3,1990,Comedy,1,Comedy,1,0
tt0106582,Cliffhanger,1993,1,1990,Thriller,1,Thriller,0,1
tt0106697,Demolition Man,1993,0,1990,Action,1,Action,0,1
tt0106770,Dragon: The Bruce Lee Story,1993,3,1990,Action,1,Action,1,0
tt0106977,The Fugitive,1993,2,1990,Crime,1,Crime,0,1
tt0107096,Heaven & Earth,1993,2,1990,Action,1,Action,0,1
tt0107144,Hot Shots! Part Deux,1993,3,1990,Comedy,1,Comedy,1,0
tt0107206,In the Line of Fire,1993,1,1990,Drama,1,Drama,0,1
tt0107843,Point of No Return,1993,3,1990,Action,1,Action,1,0
tt0107969,Rising Sun,1993,1,1990,Crime,1,Crime,0,1
tt0107978,RoboCop 3,1993,3,1990,Crime,1,Crime,1,0
tt0108188,Sonatine,1993,0,1990,Crime,1,Crime,0,1
tt0108358,Tombstone,1993,3,1990,Drama,1,Drama,1,0
tt0108624,Kung Fu Cult Master,1993,3,1990,History,1,History,1,0
tt0109144,A.P.E.X.,1994,1,1990,Sci-Fi,1,Sci-Fi,0,1
tt0109198,Bad Girls,1994,3,1990,Western,1,Western,1,0
tt0109254,Beverly Hills Cop III,1994,0,1990,Comedy,1,Comedy,0,1
tt0109277,Sailor Moon S: The Movie - Hearts in Ice,1994,3,1990,Animation,1,Animation,1,0
tt0109506,The Crow,1994,3,1990,Drama,1,Drama,1,0
tt0109676,Drop Zone,1994,2,1990,Adventure,1,Adventure,0,1
tt0109688,Ashes of Time,1994,1,1990,Action,1,Action,0,1
tt0109770,The Fantastic Four,1994,1,1990,Adventure,1,Adventure,0,1
tt0109791,Felidae,1994,1,1990,Drama,1,Drama,0,1
tt0110054,The New Legend of Shaolin,1994,3,1990,Action,1,Action,1,0
tt0110413,Léon: The Professional,1994,3,1990,Action,1,Action,1,0
tt0110678,No Escape,1994,0,1990,Action,1,Action,0,1
tt0111143,The Shadow,1994,0,1990,Crime,1,Crime,0,1
tt0111255,The Specialist,1994,1,1990,Drama,1,Drama,0,1
tt0111257,Speed,1994,3,1990,Crime,1,Crime,1,0
tt0111280,Star Trek: Generations,1994,3,1990,Adventure,1,Adventure,1,0
tt0111282,Stargate,1994,1,1990,Action,1,Action,0,1
tt0111301,Street Fighter,1994,3,1990,Adventure,1,Adventure,1,0
tt0111438,Timecop,1994,1,1990,Sci-Fi,1,Sci-Fi,0,1
tt0111503,True Lies,1994,3,1990,Action,1,Action,1,0
tt0111512,Drunken Master II,1994,3,1990,Action,1,Action,1,0
tt0111800,Wing Chun,1994,2,1990,Action,1,Action,0,1
tt0112389,The Thief and the Cobbler,1993,0,1990,Action,1,Action,0,1
tt0112401,Assassins,1995,1,1990,Crime,1,Crime,0,1
tt0112462,Batman Forever,1995,1,1990,Action,1,Action,0,1
tt0112513,Sailor Moon SuperS: The Movie: Black Dream Hole,1995,3,1990,Action,1,Action,1,0
tt0112715,Congo,1995,0,1990,Action,1,Action,0,1
tt0112819,Dead Presidents,1995,3,1990,Drama,1,Drama,1,0
tt0112851,Desperado,1995,1,1990,Action,1,Action,0,1
